id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
508112,SZ399971,中证传媒,3,44.48,2.5209,0.7208,0.4376,0.0567,0.0174,1778601600000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323829,1778668323829,1.0765,False,5,0.5624,0.2792,05-13
508078,SZ399006,创业板,1,48.6796,6.3347,0.6072,0.7704,0.1301,0.0089,1778601600000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320877,1778668320877,0.7442,False,5,0.2296,0.3928,05-13
508111,SZ399610,TMT50,3,53.0553,6.7986,0.9496,0.9996,0.1281,0.0062,1778601600000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1489075200000,1778668323754,1778668323754,0.7218,False,5,0.0004,0.0504,05-13
508109,CSI931087,科技龙头,3,56.2836,7.3033,0.9348,0.9591,0.1298,0.0048,1778601600000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1778668323609,1778668323609,1.0142,False,5,0.0409,0.0652,05-13
508077,SH000852,中证1000,1,57.5424,2.9136,0.8748,0.76,0.0506,0.0092,1778601600000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320800,1778668320800,0.94,False,5,0.24,0.1252,05-13
508119,CSI931079,5G通讯,3,60.0114,8.4645,0.9994,0.9994,0.141,0.0053,1778601600000,high,2,,0.05,1556553600000,1778668324375,1778668324375,0.6565,False,5,0.0006,0.0006,05-13
508117,CSI930652,中证电子,3,64.9292,6.9402,0.9888,0.9996,0.1069,0.0055,1778601600000,high,2,,0.05,1453392000000,1778668324225,1778668324225,0.9541,False,5,0.0004,0.0112,05-13
508090,SH000993,全指信息,3,71.6669,6.8031,0.8724,0.9996,0.0949,0.0053,1778601600000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321966,1778668321966,0.994,False,5,0.0004,0.1276,05-13
508084,SZ399967,中证军工,3,83.48,4.1969,0.718,0.9272,0.0503,0.004,1778601600000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321447,1778668321447,1.1643,True,5,0.0728,0.282,05-13
508120,SH000688,科创50,1,166.799,7.7801,0.9506,0.9494,0.0466,0.0027,1778601600000,high,2,,0.05,1577721600000,1778668324434,1778668324434,0.8796,False,5,0.0506,0.0494,05-13
