id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pe_over_history,pb_over_history
447808,SZ399006,创业板,1,40.1235,5.0294,0.1668,0.3848,0.1253,0.0055,1670342400000,mid,1,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.7177,False,12-07,0.8332,0.6152
447820,SH000993,全指信息,3,41.1755,3.1496,0.2104,0.134,0.0765,0.0093,1670342400000,mid,1,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,2.1611,False,12-07,0.7896,0.866
447829,CSIH11136,中国互联,3,42.0272,2.6363,0.3724,0.0504,0.0627,0.0048,1670342400000,mid,1,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,,False,12-07,0.6276,0.9496
447847,CSIH30533,中概互联50,3,42.8079,2.5977,0.3413,0.0651,0.0607,0.0047,1670342400000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1670409760773,1670409760773,,False,12-07,0.6587,0.9349
447814,SZ399967,中证军工,3,54.3793,3.1918,0.1,0.3798,0.0587,0.0051,1670342400000,mid,1,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1387987200000,1670409760772,1670409760772,1.3319,True,12-07,0.9,0.6202
447855,SZ399393,国证地产,3,58.2089,0.9703,0.9972,0.0592,0.0167,0.0274,1670342400000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,3.569,True,12-07,0.0028,0.9408
447842,SZ399702,基本面120,2,22.037,2.1744,0.8112,0.4396,0.0987,0.0202,1670342400000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,1.1123,False,12-07,0.1888,0.5604
447841,SZ399701,基本面60,2,23.2687,2.2342,0.9132,0.5768,0.096,0.0203,1670342400000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,1.1255,False,12-07,0.0868,0.4232
447818,SH000989,全指可选,3,28.7998,2.5767,0.7108,0.4596,0.0895,0.0174,1670342400000,high,2,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.9304,False,12-07,0.2892,0.5404
447835,935600,MSCI印度,1,31.0025,4.1788,0.9316,0.9316,0.1348,0.0123,1670342400000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1406304000000,1670409760772,1670409760772,,False,12-07,0.0684,0.0684
447846,SZ399417,新能源车,3,32.4096,5.0735,0.322,0.7631,0.1565,0.0034,1670342400000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1411488000000,1670409760773,1670409760773,0.339,True,12-07,0.678,0.2369
447816,SZ399396,食品饮料,3,33.5318,6.7759,0.7114,0.6776,0.2021,0.0145,1670342400000,high,2,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1351440000000,1670409760772,1670409760772,1.6672,False,12-07,0.2886,0.3224
447839,SH000932,主要消费,3,40.2719,6.3003,0.8588,0.6852,0.1564,0.0134,1670342400000,high,2,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.7652,False,12-07,0.1412,0.3148
447861,CSI931079,5G通讯,3,23.0852,2.7599,0.0468,0.0456,0.1196,0.0126,1670342400000,unsort,99,,0.05,1556553600000,1670409760773,1670409760773,0.9688,False,12-07,0.9532,0.9544
447863,HKHSSCNE,新经济,2,25.9042,2.8552,0.4761,0.4954,0.1102,0.0099,1670342400000,unsort,99,,0.05,1542729600000,1670409760773,1670409760773,,False,12-07,0.5239,0.5046
447852,CSI931087,科技龙头,3,31.3196,4.734,0.149,0.1457,0.1512,0.0078,1670342400000,unsort,99,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1670409760773,1670409760773,1.1846,False,12-07,0.851,0.8543
447862,SH000688,科创50,1,39.343,4.2513,0.0618,0.014,0.1081,0.0046,1670342400000,unsort,99,,0.05,1577721600000,1670409760773,1670409760773,1.0107,False,12-07,0.9382,0.986
447865,HKHSTECH,恒生科技,3,48.2795,2.6823,0.8646,0.217,0.0556,0.0048,1670342400000,unsort,99,,0.05,1595779200000,1670409760773,1670409760773,,False,12-07,0.1354,0.783
