id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
505080,SZ399971,中证传媒,3,37.5821,2.4742,0.5796,0.3916,0.0658,0.018,1774886400000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953123441,1774953123441,False,5,03-31,0.6084,0.4204,0.8081
505046,SZ399006,创业板,1,38.9211,5.2951,0.3396,0.5916,0.136,0.0089,1774886400000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120779,1774953120779,False,5,03-31,0.4084,0.6604,1.0261
505079,SZ399610,TMT50,3,41.1108,5.1032,0.6304,0.8224,0.1241,0.0083,1774886400000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1486742400000,1774953123356,1774953123356,False,5,03-31,0.1776,0.3696,0.8939
505087,CSI931079,5G通讯,3,46.0258,5.9765,0.8886,0.9255,0.1299,0.008,1774886400000,high,2,,0.05,1556553600000,1774953123960,1774953123960,False,5,03-31,0.0745,0.1114,0.8829
505045,SH000852,中证1000,1,46.144,2.5042,0.7108,0.5248,0.0543,0.0106,1774886400000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120708,1774953120708,False,5,03-31,0.4752,0.2892,1.3178
505077,CSI931087,科技龙头,3,46.1624,5.5837,0.6919,0.6128,0.121,0.0061,1774886400000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1774953123197,1774953123197,False,5,03-31,0.3872,0.3081,1.0003
505085,CSI930652,中证电子,3,51.4697,4.9603,0.8148,0.8744,0.0964,0.0076,1774886400000,high,2,,0.05,1450108800000,1774953123822,1774953123822,False,5,03-31,0.1256,0.1852,1.0241
505058,SH000993,全指信息,3,58.8764,4.9694,0.634,0.842,0.0844,0.0069,1774886400000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121709,1774953121709,False,5,03-31,0.158,0.366,1.0839
505052,SZ399967,中证军工,3,107.1925,3.7502,0.8144,0.7464,0.035,0.0045,1774886400000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121253,1774953121253,True,5,03-31,0.2536,0.1856,1.4864
505088,SH000688,科创50,1,156.5009,5.6697,0.9207,0.5631,0.0362,0.0038,1774886400000,high,2,,0.05,1577721600000,1774953124007,1774953124007,False,5,03-31,0.4369,0.0793,2.8427
